"year","month","y","gse_means"
2015,1,25.221,52.388462962963
2015,2,23.2863333333333,50.6202407407407
2015,3,22.75,50.3155092592593
2015,4,34.669,52.5314333333333
2015,5,NA,58.8108888888889
2015,6,51.2,62.6822037037037
2015,7,57.4482,65.0049222222222
2015,8,40.64575,63.3375925925926
2015,9,27.3938,59.2294222222222
2015,10,25.924,60.1191851851852
2015,11,NA,58.2010277777778
2015,12,23.2038,55.4370222222222
2016,1,22.0255,53.7342777777778
2016,2,21.228,52.0191851851852
2016,3,20.6815,50.5257222222222
2016,4,NA,49.7208148148148
2016,5,20.79,51.3191666666667
2016,6,NA,52.4580222222222
2016,7,21.507,53.2653611111111
2016,8,21.4184,52.2633333333333
2016,9,21.42275,51.3646111111111
2016,10,21.3975,50.6997222222222
2016,11,20.06975,48.7315166666667
2016,12,19.1105,47.2189814814815
2017,1,17.1325,45.8067037037037
2017,2,NA,43.5082407407407
2017,3,14.795,41.5203333333333
2017,4,15.711,40.6386851851852
2017,5,17.374,42.3655666666667
2017,6,18.39875,44.6032777777778
2017,7,19.54175,47.0935277777778
2017,8,NA,46.3434
2017,9,19.72275,45.8
2017,10,20.033,45.5563333333333
2017,11,NA,43.3415777777778
2017,12,19.135,42.3015833333333
2018,1,18.8136,41.4008888888889
2018,2,19.08925,40.8056388888889
2018,3,18.98025,40.1638611111111
2018,4,19.17775,39.5075
2018,5,NA,42.6520444444444
2018,6,NA,51.3815277777778
2018,7,60.9874444444444,60.9587222222222
2018,8,57.3776666666667,60.0782444444444
2018,9,33.410625,54.4020277777778
2018,10,29.67,53.5853555555556
2018,11,27.727125,51.1763055555556
2018,12,25.073,48.6435
2019,1,NA,46.6698
2019,2,22.37,44.5854722222222
2019,3,21.07,42.2460833333333
2019,4,NA,41.0776111111111
2019,5,21.466,42.3797111111111
2019,6,21.43075,43.4161944444444
2019,7,22.4058,46.2553777777778
2019,8,22.91975,46.38825
2019,9,22.51725,45.1089444444444
2019,10,22.51,44.3709722222222
2019,11,22.2775,43.7666388888889
2019,12,20.83325,42.1133333333333
2020,1,NA,40.9501111111111
2020,2,19.8875,40.3251666666667
2020,3,20.6676,40.5406111111111
2020,4,27.837,43.8160666666667
2020,5,NA,55.0367685185185
2020,6,NA,60.9818888888889
2020,7,NA,66.4474666666667
2020,8,NA,66.4806944444445
2020,9,45.6846,61.2078888888889
2020,10,33.06525,58.2156111111111
2020,11,29.71775,55.9646666666667
2020,12,26.944,53.5515333333333
