"year","month","y","gse_means","month2","year2","y_predicted"
2015,1,25.221,52.388462962963,1,4060225,23.3241719352964
2015,2,23.2863333333333,50.6202407407407,4,4060225,21.6381519812848
2015,3,22.75,50.3155092592593,9,4060225,21.8517952307903
2015,4,34.669,52.5314333333333,16,4060225,25.5361634792822
2015,5,51.48375,58.8108888888889,25,4060225,34.9841380149024
2015,6,51.2,62.6822037037037,36,4060225,40.5781106476615
2015,7,57.4482,65.0049222222222,49,4060225,43.5954578275227
2015,8,40.64575,63.3375925925926,64,4060225,40.4079167934012
2015,9,27.3938,59.2294222222222,81,4060225,33.3177781029543
2015,10,25.924,60.1191851851852,100,4060225,33.3798683916586
2015,11,24.84,58.2010277777778,121,4060225,28.9938408043666
2015,12,23.2038,55.4370222222222,144,4060225,23.0755478790049
2016,1,22.0255,53.7342777777778,1,4064256,29.5561685435615
2016,2,21.228,52.0191851851852,4,4064256,27.9491049927037
2016,3,20.6815,50.5257222222222,9,4064256,26.3961640829038
2016,4,20.6875,49.7208148148148,16,4064256,25.5912484802893
2016,5,20.79,51.3191666666667,25,4064256,28.0825942230699
2016,6,21.06575,52.4580222222222,36,4064256,29.6158354639599
2016,7,21.507,53.2653611111111,49,4064256,30.38116383996
2016,8,21.4184,52.2633333333333,64,4064256,28.1823336551326
2016,9,21.42275,51.3646111111111,81,4064256,25.8617836791736
2016,10,21.3975,50.6997222222222,100,4064256,23.6134923741361
2016,11,20.06975,48.7315166666667,121,4064256,19.1530878000322
2016,12,19.1105,47.2189814814815,144,4064256,15.094615840614
2017,1,17.1325,45.8067037037037,1,4068289,20.9770657507134
2017,2,15.28475,43.5082407407407,4,4068289,18.5030504354251
2017,3,14.795,41.5203333333333,9,4068289,16.2153113505794
2017,4,15.711,40.6386851851852,16,4068289,15.2963506679129
2017,5,17.374,42.3655666666667,25,4068289,17.9787054074622
2017,6,18.39875,44.6032777777778,36,4068289,21.1449654150377
2017,7,19.54175,47.0935277777778,49,4068289,24.4112825817973
2017,8,19.8626,46.3434,64,4068289,22.5868031705982
2017,9,19.72275,45.8,81,4068289,20.7943006292414
2017,10,20.033,45.5563333333333,100,4068289,19.1719913200687
2017,11,19.9654,43.3415777777778,121,4068289,14.3451866537136
2017,12,19.135,42.3015833333333,144,4068289,10.9889615853921
2018,1,18.8136,41.4008888888889,1,4072324,16.601844135681
2018,2,19.08925,40.8056388888889,4,4072324,16.6589883691785
2018,3,18.98025,40.1638611111111,9,4072324,16.3717441960278
2018,4,19.17775,39.5075,16,4072324,15.7875845320325
2018,5,21.1996,42.6520444444444,25,4072324,20.5767404900396
2018,6,31.8615,51.3815277777778,36,4072324,33.3904794718444
2018,7,60.9874444444444,60.9587222222222,49,4072324,47.1887662116067
2018,8,57.3776666666667,60.0782444444444,64,4072324,45.1705725354514
2018,9,33.410625,54.4020277777778,81,4072324,35.7501466512621
2018,10,29.67,53.5853555555556,100,4072324,33.2762888188041
2018,11,27.727125,51.1763055555556,121,4072324,28.160741494293
2018,12,25.073,48.6435,144,4072324,22.586036893119
2019,1,23.6813333333333,46.6698,1,4076361,25.5744807998345
2019,2,22.37,44.5854722222222,4,4076361,23.4186936395091
2019,3,21.07,42.2460833333333,9,4076361,20.60861487817
2019,4,20.5286,41.0776111111111,16,4076361,19.2634024526497
2019,5,21.466,42.3797111111111,25,4076361,21.314485750295
2019,6,21.43075,43.4161944444444,36,4076361,22.6955907443133
2019,7,22.4058,46.2553777777778,49,4076361,26.4804607625142
2019,8,22.91975,46.38825,64,4076361,25.9682153057173
2019,9,22.51725,45.1089444444444,81,4076361,23.0820771389548
2019,10,22.51,44.3709722222222,100,4076361,20.7251760587181
2019,11,22.2775,43.7666388888889,121,4076361,18.2916338169651
2019,12,20.83325,42.1133333333333,144,4076361,14.023961789853
2020,1,20.042,40.9501111111111,1,4080400,17.1870279618858
2020,2,19.8875,40.3251666666667,4,4080400,17.2000430240842
2020,3,20.6676,40.5406111111111,9,4080400,18.1867242263219
2020,4,27.837,43.8160666666667,16,4080400,23.4456713941319
2020,5,52.412,55.0367685185185,25,4080400,40.2368748845242
2020,6,56.8202,60.9818888888889,36,4080400,48.9127479304517
2020,7,65.8344,66.4474666666667,49,4080400,56.6007254997886
2020,8,69.3482222222222,66.4806944444445,64,4080400,55.9403975703218
2020,9,45.6846,61.2078888888889,81,4080400,47.1194844353772
2020,10,33.06525,58.2156111111111,100,4080400,41.4124403272839
2020,11,29.71775,55.9646666666667,121,4080400,36.5318550394428
2020,12,26.944,53.5515333333333,144,4080400,31.1349963651077
